name,diet,period,start_mya,extinction_mya,lived_in,ISO3,type,length_m,taxonomy,named_by,species,link
suchomimus,carnivorous,Early Cretaceous,121,112,Niger,NER,large theropod,11.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Baryonychinae,Sereno Beck Dutheil Gado Larsson Lyon Marcot Rauhut Sadleir Sidor Varricchio Wilson and Wilson (1998),tenerensis,https://www.nhm.ac.uk/discover/dino-directory/suchomimus.html
afrovenator,carnivorous,Early Cretaceous,132,121,Niger,NER,large theropod,9.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Sereno Wilson Larsson Dutheil and Sues (1944),abakensis,https://www.nhm.ac.uk/discover/dino-directory/afrovenator.html
rugops,carnivorous,Late Cretaceous,95,,Niger,NER,large theropod,7.0,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Sereno Wilson and Conrad (2004),primus,https://www.nhm.ac.uk/discover/dino-directory/rugops.html
magyarosaurus,herbivorous,Late Cretaceous,71,65,Romania,ROM,sauropod,5.0,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Nopcsa (1915),dacus,https://www.nhm.ac.uk/discover/dino-directory/magyarosaurus.html
zalmoxes,herbivorous,Late Cretaceous,69,,Romania,ROM,euornithopod,3.0,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Rhabdodontidae,Nopcsa (1902),robustus,https://www.nhm.ac.uk/discover/dino-directory/zalmoxes.html
psittacosaurus,herbivorous,Early Cretaceous,120,100,Russia,RUS,ceratopsian,2.0,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Psittacosauridae,Osborn (1923),mongoliensis,https://www.nhm.ac.uk/discover/dino-directory/psittacosaurus.html
nqwebasaurus,carnivorous,Mid Jurassic,159,132,South Africa,ZAF,small theropod,1.0,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria,de Klerk Forster Sampson Chinsamy and Ross (2000),thwazi,https://www.nhm.ac.uk/discover/dino-directory/nqwebasaurus.html
aardonyx,herbivorous,Early Jurassic,199,189,South Africa,ZAF,sauropod,8.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Yates Bonnan Neveling Chinsamy and Blackbeard 2010 (2009),celestae,https://www.nhm.ac.uk/discover/dino-directory/aardonyx.html
lycorhinus,herbivorous,Late Triassic,205,195,South Africa,ZAF,euornithopod,1.2,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Haughton (1924),angustidens,https://www.nhm.ac.uk/discover/dino-directory/lycorhinus.html
melanorosaurus,omnivorous,Late Triassic,227,221,South Africa,ZAF,sauropod,12.0,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria Melanorosauridae,Haughton (1924),readi,https://www.nhm.ac.uk/discover/dino-directory/melanorosaurus.html
